country,city,f0_
South Africa,Cape Town,7
South Africa,Durban,15
South Africa,East London,3
IND,Kolkata,79
IND,Kochi,5
South Africa,Bloemfontein,2
South Africa,Centurion,12
IND,Cuttack,7
IND,Delhi,78
South Africa,Port Elizabeth,7
IND,Mumbai,159
UAE,Abu Dhabi,37
South Africa,Kimberley,3
IND,Bangalore,80
South Africa,Johannesburg,8
IND,Indore,9
IND,Chennai,67
IND,Jaipur,47
UAE,Sharjah,10
,NA,51
IND,Pune,51
IND,Ahmedabad,19
IND,Navi Mumbai,9
IND,Ranchi,7
IND,Hyderabad,64
UAE,Dubai,13
IND,Rajkot,10
IND,Chandigarh,56
IND,Dharamsala,9
IND,Nagpur,3
IND,Raipur,6
IND,Visakhapatnam,13
IND,Kanpur,4
