ID,BattingTeam,total_score,city,extras,season
335982,Royal Challengers Bangalore,82,Bangalore,19,2007/08
335982,Kolkata Knight Riders,222,Bangalore,17,2007/08
335983,Kings XI Punjab,207,Chandigarh,11,2007/08
335983,Chennai Super Kings,240,Chandigarh,6,2007/08
335984,Rajasthan Royals,129,Delhi,7,2007/08
335984,Delhi Daredevils,132,Delhi,10,2007/08
335985,Royal Challengers Bangalore,166,Mumbai,5,2007/08
335985,Mumbai Indians,165,Mumbai,11,2007/08
335986,Deccan Chargers,110,Kolkata,10,2007/08
335986,Kolkata Knight Riders,112,Kolkata,28,2007/08
335987,Kings XI Punjab,166,Jaipur,4,2007/08
335987,Rajasthan Royals,168,Jaipur,12,2007/08
335988,Deccan Chargers,142,Hyderabad,5,2007/08
335988,Delhi Daredevils,143,Hyderabad,12,2007/08
335989,Mumbai Indians,202,Chennai,13,2007/08
335989,Chennai Super Kings,208,Chennai,18,2007/08
335990,Rajasthan Royals,217,Hyderabad,7,2007/08
335990,Deccan Chargers,214,Hyderabad,6,2007/08
335991,Kings XI Punjab,182,Chandigarh,7,2007/08
335991,Mumbai Indians,116,Chandigarh,7,2007/08
335992,Rajasthan Royals,138,Bangalore,3,2007/08
335992,Royal Challengers Bangalore,135,Bangalore,6,2007/08
335993,Kolkata Knight Riders,147,Chennai,8,2007/08
335993,Chennai Super Kings,152,Chennai,18,2007/08
335994,Mumbai Indians,154,Mumbai,11,2007/08
335994,Deccan Chargers,155,Mumbai,9,2007/08
335995,Kings XI Punjab,162,Chandigarh,9,2007/08
335995,Delhi Daredevils,158,Chandigarh,11,2007/08
335996,Royal Challengers Bangalore,165,Bangalore,7,2007/08
335996,Chennai Super Kings,178,Bangalore,4,2007/08
335997,Kolkata Knight Riders,137,Kolkata,13,2007/08
335997,Mumbai Indians,138,Kolkata,15,2007/08
335998,Royal Challengers Bangalore,181,Delhi,12,2007/08
335998,Delhi Daredevils,191,Delhi,4,2007/08
335999,Deccan Chargers,164,Hyderabad,4,2007/08
335999,Kings XI Punjab,167,Hyderabad,6,2007/08
336000,Kolkata Knight Riders,151,Jaipur,12,2007/08
336000,Rajasthan Royals,196,Jaipur,14,2007/08
336001,Chennai Super Kings,169,Chennai,7,2007/08
336001,Delhi Daredevils,172,Chennai,6,2007/08
336002,Royal Challengers Bangalore,171,Hyderabad,3,2007/08
336002,Deccan Chargers,165,Hyderabad,13,2007/08
336003,Kolkata Knight Riders,169,Chandigarh,7,2007/08
336003,Kings XI Punjab,178,Chandigarh,14,2007/08
336004,Mumbai Indians,162,Mumbai,10,2007/08
336004,Delhi Daredevils,133,Mumbai,4,2007/08
336005,Chennai Super Kings,109,Jaipur,7,2007/08
336005,Rajasthan Royals,110,Jaipur,21,2007/08
336006,Royal Challengers Bangalore,126,Bangalore,10,2007/08
336006,Kings XI Punjab,127,Bangalore,17,2007/08
336007,Chennai Super Kings,144,Chennai,10,2007/08
336007,Deccan Chargers,148,Chennai,5,2007/08
336008,Rajasthan Royals,103,Mumbai,7,2007/08
336008,Mumbai Indians,104,Mumbai,12,2007/08
336009,Chennai Super Kings,188,Delhi,11,2007/08
336009,Delhi Daredevils,187,Delhi,12,2007/08
336010,Royal Challengers Bangalore,124,Kolkata,6,2007/08
336010,Kolkata Knight Riders,129,Kolkata,5,2007/08
336011,Rajasthan Royals,141,Jaipur,11,2007/08
336011,Deccan Chargers,140,Jaipur,6,2007/08
336012,Royal Challengers Bangalore,122,Bangalore,11,2007/08
336012,Mumbai Indians,126,Bangalore,13,2007/08
336013,Kings XI Punjab,163,Chennai,3,2007/08
336013,Chennai Super Kings,181,Chennai,15,2007/08
336014,Kolkata Knight Riders,204,Hyderabad,5,2007/08
336014,Deccan Chargers,181,Hyderabad,16,2007/08
336015,Rajasthan Royals,159,Jaipur,17,2007/08
336015,Delhi Daredevils,156,Jaipur,11,2007/08
336016,Royal Challengers Bangalore,143,Chandigarh,15,2007/08
336016,Kings XI Punjab,144,Chandigarh,9,2007/08
336017,Kolkata Knight Riders,133,Kolkata,11,2007/08
336017,Delhi Daredevils,110,Kolkata,8,2007/08
336018,Chennai Super Kings,156,Mumbai,12,2007/08
336018,Mumbai Indians,158,Mumbai,16,2007/08
336019,Rajasthan Royals,180,Chandigarh,4,2007/08
336019,Kings XI Punjab,221,Chandigarh,5,2007/08
336020,Deccan Chargers,182,Delhi,3,2007/08
336020,Delhi Daredevils,194,Delhi,8,2007/08
336021,Kolkata Knight Riders,67,Mumbai,8,2007/08
336021,Mumbai Indians,68,Mumbai,10,2007/08
336022,Kings XI Punjab,94,Delhi,4,2007/08
336022,Delhi Daredevils,118,Delhi,10,2007/08
336023,Royal Challengers Bangalore,132,Jaipur,6,2007/08
336023,Rajasthan Royals,197,Jaipur,26,2007/08
336024,Deccan Chargers,153,Hyderabad,8,2007/08
336024,Mumbai Indians,178,Hyderabad,20,2007/08
336025,Kolkata Knight Riders,149,Kolkata,13,2007/08
336025,Chennai Super Kings,55,Kolkata,4,2007/08
336026,Royal Challengers Bangalore,154,Bangalore,9,2007/08
336026,Delhi Daredevils,158,Bangalore,12,2007/08
336027,Kolkata Knight Riders,147,Kolkata,5,2007/08
336027,Rajasthan Royals,150,Kolkata,7,2007/08
336028,Mumbai Indians,188,Mumbai,23,2007/08
336028,Kings XI Punjab,189,Mumbai,12,2007/08
336029,Royal Challengers Bangalore,126,Chennai,4,2007/08
336029,Chennai Super Kings,112,Chennai,12,2007/08
336031,Deccan Chargers,175,Chandigarh,5,2007/08
336031,Kings XI Punjab,178,Chandigarh,8,2007/08
336032,Mumbai Indians,176,Delhi,9,2007/08
336032,Delhi Daredevils,179,Delhi,3,2007/08
336033,Rajasthan Royals,211,Chennai,7,2007/08
336033,Chennai Super Kings,201,Chennai,9,2007/08
336034,Royal Challengers Bangalore,156,Bangalore,5,2007/08
336034,Deccan Chargers,153,Bangalore,6,2007/08
336035,Kolkata Knight Riders,175,Kolkata,9,2007/08
336035,Kings XI Punjab,174,Kolkata,11,2007/08
336036,Rajasthan Royals,146,Jaipur,16,2007/08
336036,Mumbai Indians,145,Jaipur,13,2007/08
336037,Deccan Chargers,147,Hyderabad,16,2007/08
336037,Chennai Super Kings,148,Hyderabad,11,2007/08
336038,Rajasthan Royals,192,Mumbai,4,2007/08
336038,Delhi Daredevils,87,Mumbai,7,2007/08
336039,Kings XI Punjab,112,Mumbai,4,2007/08
336039,Chennai Super Kings,116,Mumbai,4,2007/08
336040,Rajasthan Royals,164,Mumbai,14,2007/08
336040,Chennai Super Kings,163,Mumbai,7,2007/08
392181,Mumbai Indians,165,Cape Town,3,2009
392181,Chennai Super Kings,146,Cape Town,9,2009
392182,Royal Challengers Bangalore,133,Cape Town,4,2009
392182,Rajasthan Royals,58,Cape Town,9,2009
392183,Kings XI Punjab,104,Cape Town,8,2009
392183,Delhi Daredevils,58,Cape Town,5,2009
392184,Kolkata Knight Riders,101,Cape Town,5,2009
392184,Deccan Chargers,104,Cape Town,2,2009
392185,Royal Challengers Bangalore,87,Port Elizabeth,5,2009
392185,Chennai Super Kings,179,Port Elizabeth,13,2009
392186,Kings XI Punjab,158,Durban,12,2009
392186,Kolkata Knight Riders,79,Durban,4,2009
392188,Royal Challengers Bangalore,160,Cape Town,7,2009
392188,Deccan Chargers,184,Cape Town,9,2009
392189,Chennai Super Kings,180,Durban,15,2009
392189,Delhi Daredevils,189,Durban,1,2009
392190,Rajasthan Royals,168,Cape Town,10,2009
392190,Kolkata Knight Riders,165,Cape Town,19,2009
392191,Kings XI Punjab,173,Durban,13,2009
392191,Royal Challengers Bangalore,168,Durban,8,2009
392192,Mumbai Indians,156,Durban,13,2009
392192,Deccan Chargers,168,Durban,14,2009
392194,Royal Challengers Bangalore,149,Port Elizabeth,11,2009
392194,Delhi Daredevils,150,Port Elizabeth,4,2009
392195,Kings XI Punjab,139,Cape Town,13,2009
392195,Rajasthan Royals,112,Cape Town,10,2009
392196,Chennai Super Kings,165,Durban,7,2009
392196,Deccan Chargers,169,Durban,10,2009
392197,Kolkata Knight Riders,95,Port Elizabeth,4,2009
392197,Mumbai Indians,187,Port Elizabeth,9,2009
392198,Delhi Daredevils,143,Centurion,5,2009
392198,Rajasthan Royals,147,Centurion,9,2009
392199,Royal Challengers Bangalore,143,Durban,9,2009
392199,Kolkata Knight Riders,139,Durban,9,2009
392200,Kings XI Punjab,119,Durban,17,2009
392200,Mumbai Indians,116,Durban,11,2009
392201,Deccan Chargers,148,Centurion,11,2009
392201,Delhi Daredevils,150,Centurion,12,2009
392202,Rajasthan Royals,126,Centurion,8,2009
392202,Chennai Super Kings,164,Centurion,5,2009
392203,Mumbai Indians,148,East London,13,2009
392203,Kolkata Knight Riders,139,East London,8,2009
392204,Kings XI Punjab,137,Durban,13,2009
392204,Royal Challengers Bangalore,145,Durban,6,2009
392205,Rajasthan Royals,142,Port Elizabeth,7,2009
392205,Deccan Chargers,141,Port Elizabeth,7,2009
392206,Delhi Daredevils,145,Johannesburg,3,2009
392206,Chennai Super Kings,163,Johannesburg,9,2009
392207,Kings XI Punjab,154,Port Elizabeth,10,2009
392207,Kolkata Knight Riders,153,Port Elizabeth,7,2009
392208,Mumbai Indians,149,Johannesburg,6,2009
