ID,BattingTeam,total_score,city,extras
335982,Royal Challengers Bangalore,82,Bangalore,19
335982,Kolkata Knight Riders,222,Bangalore,17
335983,Kings XI Punjab,207,Chandigarh,11
335983,Chennai Super Kings,240,Chandigarh,6
335984,Rajasthan Royals,129,Delhi,7
335984,Delhi Daredevils,132,Delhi,10
335985,Royal Challengers Bangalore,166,Mumbai,5
335985,Mumbai Indians,165,Mumbai,11
335986,Deccan Chargers,110,Kolkata,10
335986,Kolkata Knight Riders,112,Kolkata,28
335987,Kings XI Punjab,166,Jaipur,4
335987,Rajasthan Royals,168,Jaipur,12
335988,Deccan Chargers,142,Hyderabad,5
335988,Delhi Daredevils,143,Hyderabad,12
335989,Mumbai Indians,202,Chennai,13
335989,Chennai Super Kings,208,Chennai,18
335990,Rajasthan Royals,217,Hyderabad,7
335990,Deccan Chargers,214,Hyderabad,6
335991,Kings XI Punjab,182,Chandigarh,7
335991,Mumbai Indians,116,Chandigarh,7
335992,Rajasthan Royals,138,Bangalore,3
335992,Royal Challengers Bangalore,135,Bangalore,6
335993,Kolkata Knight Riders,147,Chennai,8
335993,Chennai Super Kings,152,Chennai,18
335994,Mumbai Indians,154,Mumbai,11
335994,Deccan Chargers,155,Mumbai,9
335995,Kings XI Punjab,162,Chandigarh,9
335995,Delhi Daredevils,158,Chandigarh,11
335996,Royal Challengers Bangalore,165,Bangalore,7
335996,Chennai Super Kings,178,Bangalore,4
335997,Kolkata Knight Riders,137,Kolkata,13
335997,Mumbai Indians,138,Kolkata,15
335998,Royal Challengers Bangalore,181,Delhi,12
335998,Delhi Daredevils,191,Delhi,4
335999,Deccan Chargers,164,Hyderabad,4
335999,Kings XI Punjab,167,Hyderabad,6
336000,Kolkata Knight Riders,151,Jaipur,12
336000,Rajasthan Royals,196,Jaipur,14
336001,Chennai Super Kings,169,Chennai,7
336001,Delhi Daredevils,172,Chennai,6
336002,Royal Challengers Bangalore,171,Hyderabad,3
336002,Deccan Chargers,165,Hyderabad,13
336003,Kolkata Knight Riders,169,Chandigarh,7
336003,Kings XI Punjab,178,Chandigarh,14
336004,Mumbai Indians,162,Mumbai,10
336004,Delhi Daredevils,133,Mumbai,4
336005,Chennai Super Kings,109,Jaipur,7
336005,Rajasthan Royals,110,Jaipur,21
336006,Royal Challengers Bangalore,126,Bangalore,10
